_id,timestamp,device_id,data,sample_index,local_datetime
1758,1736377132703.0,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,"{""device_id"": ""d74f7acf-f82f-491d-90b9-d7321e6d4bcf"", ""sim_state"": ""5"", ""timestamp"": 1736377132703, ""phone_type"": ""[REDACTED_SENSITIVE_FIELD]"", ""sim_serial"": ""[REDACTED_SENSITIVE_FIELD]"", ""line_number"": ""[REDACTED_SENSITIVE_FIELD]"", ""data_enabled"": ""0"", ""network_type"": ""13"", ""imei_meid_esn"": ""[REDACTED_SENSITIVE_FIELD]"", ""subscriber_id"": ""[REDACTED_SENSITIVE_FIELD]"", ""software_version"": ""60"", ""sim_operator_code"": ""42507"", ""sim_operator_name"": ""[REDACTED_SENSITIVE_FIELD]"", ""network_operator_code"": ""42507"", ""network_operator_name"": ""[REDACTED_SENSITIVE_FIELD]"", ""network_country_iso_mcc"": ""il""}",1,2025-01-09 00:58:52+0200
1762,1736384050305.0,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,"{""device_id"": ""d74f7acf-f82f-491d-90b9-d7321e6d4bcf"", ""sim_state"": ""5"", ""timestamp"": 1736384050305, ""phone_type"": ""[REDACTED_SENSITIVE_FIELD]"", ""sim_serial"": ""[REDACTED_SENSITIVE_FIELD]"", ""line_number"": ""[REDACTED_SENSITIVE_FIELD]"", ""data_enabled"": ""0"", ""network_type"": ""13"", ""imei_meid_esn"": ""[REDACTED_SENSITIVE_FIELD]"", ""subscriber_id"": ""[REDACTED_SENSITIVE_FIELD]"", ""software_version"": ""60"", ""sim_operator_code"": ""42507"", ""sim_operator_name"": ""[REDACTED_SENSITIVE_FIELD]"", ""network_operator_code"": ""42507"", ""network_operator_name"": ""[REDACTED_SENSITIVE_FIELD]"", ""network_country_iso_mcc"": ""il""}",2,2025-01-09 02:54:10+0200
1769,1736394396965.0,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,"{""device_id"": ""d74f7acf-f82f-491d-90b9-d7321e6d4bcf"", ""sim_state"": ""5"", ""timestamp"": 1736394396965, ""phone_type"": ""[REDACTED_SENSITIVE_FIELD]"", ""sim_serial"": ""[REDACTED_SENSITIVE_FIELD]"", ""line_number"": ""[REDACTED_SENSITIVE_FIELD]"", ""data_enabled"": ""0"", ""network_type"": ""13"", ""imei_meid_esn"": ""[REDACTED_SENSITIVE_FIELD]"", ""subscriber_id"": ""[REDACTED_SENSITIVE_FIELD]"", ""software_version"": ""60"", ""sim_operator_code"": ""42507"", ""sim_operator_name"": ""[REDACTED_SENSITIVE_FIELD]"", ""network_operator_code"": ""42507"", ""network_operator_name"": ""[REDACTED_SENSITIVE_FIELD]"", ""network_country_iso_mcc"": ""il""}",3,2025-01-09 05:46:36+0200
1772,1736396282528.0,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,"{""device_id"": ""d74f7acf-f82f-491d-90b9-d7321e6d4bcf"", ""sim_state"": ""5"", ""timestamp"": 1736396282528, ""phone_type"": ""[REDACTED_SENSITIVE_FIELD]"", ""sim_serial"": ""[REDACTED_SENSITIVE_FIELD]"", ""line_number"": ""[REDACTED_SENSITIVE_FIELD]"", ""data_enabled"": ""0"", ""network_type"": ""13"", ""imei_meid_esn"": ""[REDACTED_SENSITIVE_FIELD]"", ""subscriber_id"": ""[REDACTED_SENSITIVE_FIELD]"", ""software_version"": ""60"", ""sim_operator_code"": ""42507"", ""sim_operator_name"": ""[REDACTED_SENSITIVE_FIELD]"", ""network_operator_code"": ""42507"", ""network_operator_name"": ""[REDACTED_SENSITIVE_FIELD]"", ""network_country_iso_mcc"": ""il""}",4,2025-01-09 06:18:02+0200
1776,1736398081633.0,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,"{""device_id"": ""d74f7acf-f82f-491d-90b9-d7321e6d4bcf"", ""sim_state"": ""5"", ""timestamp"": 1736398081633, ""phone_type"": ""[REDACTED_SENSITIVE_FIELD]"", ""sim_serial"": ""[REDACTED_SENSITIVE_FIELD]"", ""line_number"": ""[REDACTED_SENSITIVE_FIELD]"", ""data_enabled"": ""0"", ""network_type"": ""13"", ""imei_meid_esn"": ""[REDACTED_SENSITIVE_FIELD]"", ""subscriber_id"": ""[REDACTED_SENSITIVE_FIELD]"", ""software_version"": ""60"", ""sim_operator_code"": ""42507"", ""sim_operator_name"": ""[REDACTED_SENSITIVE_FIELD]"", ""network_operator_code"": ""42507"", ""network_operator_name"": ""[REDACTED_SENSITIVE_FIELD]"", ""network_country_iso_mcc"": ""il""}",5,2025-01-09 06:48:01+0200
1777,1736398833745.0,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,"{""device_id"": ""d74f7acf-f82f-491d-90b9-d7321e6d4bcf"", ""sim_state"": ""5"", ""timestamp"": 1736398833745, ""phone_type"": ""[REDACTED_SENSITIVE_FIELD]"", ""sim_serial"": ""[REDACTED_SENSITIVE_FIELD]"", ""line_number"": ""[REDACTED_SENSITIVE_FIELD]"", ""data_enabled"": ""2"", ""network_type"": ""13"", ""imei_meid_esn"": ""[REDACTED_SENSITIVE_FIELD]"", ""subscriber_id"": ""[REDACTED_SENSITIVE_FIELD]"", ""software_version"": ""60"", ""sim_operator_code"": ""42507"", ""sim_operator_name"": ""[REDACTED_SENSITIVE_FIELD]"", ""network_operator_code"": ""42507"", ""network_operator_name"": ""[REDACTED_SENSITIVE_FIELD]"", ""network_country_iso_mcc"": ""il""}",6,2025-01-09 07:00:33+0200
1778,1736398900207.0,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,"{""device_id"": ""d74f7acf-f82f-491d-90b9-d7321e6d4bcf"", ""sim_state"": ""5"", ""timestamp"": 1736398900207, ""phone_type"": ""[REDACTED_SENSITIVE_FIELD]"", ""sim_serial"": ""[REDACTED_SENSITIVE_FIELD]"", ""line_number"": ""[REDACTED_SENSITIVE_FIELD]"", ""data_enabled"": ""0"", ""network_type"": ""13"", ""imei_meid_esn"": ""[REDACTED_SENSITIVE_FIELD]"", ""subscriber_id"": ""[REDACTED_SENSITIVE_FIELD]"", ""software_version"": ""60"", ""sim_operator_code"": ""42507"", ""sim_operator_name"": ""[REDACTED_SENSITIVE_FIELD]"", ""network_operator_code"": ""42507"", ""network_operator_name"": ""[REDACTED_SENSITIVE_FIELD]"", ""network_country_iso_mcc"": ""il""}",7,2025-01-09 07:01:40+0200
1792,1736399882034.0,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,"{""device_id"": ""d74f7acf-f82f-491d-90b9-d7321e6d4bcf"", ""sim_state"": ""5"", ""timestamp"": 1736399882034, ""phone_type"": ""[REDACTED_SENSITIVE_FIELD]"", ""sim_serial"": ""[REDACTED_SENSITIVE_FIELD]"", ""line_number"": ""[REDACTED_SENSITIVE_FIELD]"", ""data_enabled"": ""0"", ""network_type"": ""13"", ""imei_meid_esn"": ""[REDACTED_SENSITIVE_FIELD]"", ""subscriber_id"": ""[REDACTED_SENSITIVE_FIELD]"", ""software_version"": ""60"", ""sim_operator_code"": ""42507"", ""sim_operator_name"": ""[REDACTED_SENSITIVE_FIELD]"", ""network_operator_code"": ""42507"", ""network_operator_name"": ""[REDACTED_SENSITIVE_FIELD]"", ""network_country_iso_mcc"": ""il""}",8,2025-01-09 07:18:02+0200
1793,1736401682276.0,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,"{""device_id"": ""d74f7acf-f82f-491d-90b9-d7321e6d4bcf"", ""sim_state"": ""5"", ""timestamp"": 1736401682276, ""phone_type"": ""[REDACTED_SENSITIVE_FIELD]"", ""sim_serial"": ""[REDACTED_SENSITIVE_FIELD]"", ""line_number"": ""[REDACTED_SENSITIVE_FIELD]"", ""data_enabled"": ""0"", ""network_type"": ""13"", ""imei_meid_esn"": ""[REDACTED_SENSITIVE_FIELD]"", ""subscriber_id"": ""[REDACTED_SENSITIVE_FIELD]"", ""software_version"": ""60"", ""sim_operator_code"": ""42507"", ""sim_operator_name"": ""[REDACTED_SENSITIVE_FIELD]"", ""network_operator_code"": ""42507"", ""network_operator_name"": ""[REDACTED_SENSITIVE_FIELD]"", ""network_country_iso_mcc"": ""il""}",9,2025-01-09 07:48:02+0200
1794,1736402084732.0,d74f7acf-f82f-491d-90b9-d7321e6d4bcf,"{""device_id"": ""d74f7acf-f82f-491d-90b9-d7321e6d4bcf"", ""sim_state"": ""5"", ""timestamp"": 1736402084732, ""phone_type"": ""[REDACTED_SENSITIVE_FIELD]"", ""sim_serial"": ""[REDACTED_SENSITIVE_FIELD]"", ""line_number"": ""[REDACTED_SENSITIVE_FIELD]"", ""data_enabled"": ""0"", ""network_type"": ""13"", ""imei_meid_esn"": ""[REDACTED_SENSITIVE_FIELD]"", ""subscriber_id"": ""[REDACTED_SENSITIVE_FIELD]"", ""software_version"": ""60"", ""sim_operator_code"": ""42507"", ""sim_operator_name"": ""[REDACTED_SENSITIVE_FIELD]"", ""network_operator_code"": ""42507"", ""network_operator_name"": ""[REDACTED_SENSITIVE_FIELD]"", ""network_country_iso_mcc"": ""il""}",10,2025-01-09 07:54:44+0200
